GPU available: True, used: True
TPU available: False, using: 0 TPU cores
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
Set SLURM handle signals.

  | Name        | Type             | Params
-------------------------------------------------
0 | model       | CNN_OShaugnessy  | 1 M   
1 | loss_module | CrossEntropyLoss | 0     

Validation sanity check: 0it [00:00, ?it/s]
Validation sanity check:  50%|█████     | 1/2 [00:00<00:00,  3.60it/s]
                                                                      
Training: 0it [00:00, ?it/s]
Training:   0%|          | 0/578 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/578 [00:00<?, ?it/s] 
Epoch 0:   0%|          | 1/578 [00:00<00:14, 38.57it/s, loss=1.103, v_num=7359009]
Epoch 0:   0%|          | 2/578 [00:00<00:10, 52.65it/s, loss=1.109, v_num=7359009]
Epoch 0:   1%|          | 3/578 [00:00<00:09, 60.88it/s, loss=1.105, v_num=7359009]
Epoch 0:   1%|          | 4/578 [00:00<00:08, 66.20it/s, loss=1.100, v_num=7359009]
Epoch 0:  16%|█▌        | 90/578 [00:01<00:05, 87.41it/s, loss=1.072, v_num=7359009]
Epoch 0:  16%|█▌        | 91/578 [00:01<00:05, 87.45it/s, loss=1.071, v_num=7359009]
Epoch 0:  16%|█▌        | 92/578 [00:01<00:05, 87.48it/s, loss=1.070, v_num=7359009]
Epoch 0:  16%|█▌        | 93/578 [00:01<00:05, 87.51it/s, loss=1.070, v_num=7359009]
Epoch 0:  16%|█▋        | 94/578 [00:01<00:05, 87.54it/s, loss=1.069, v_num=7359009]
Epoch 0:  16%|█▋        | 95/578 [00:01<00:05, 87.57it/s, loss=1.068, v_num=7359009]
Epoch 0:  17%|█▋        | 96/578 [00:01<00:05, 87.60it/s, loss=1.067, v_num=7359009]
Epoch 0:  17%|█▋        | 97/578 [00:01<00:05, 87.63it/s, loss=1.066, v_num=7359009]
Epoch 0:  17%|█▋        | 98/578 [00:01<00:05, 87.67it/s, loss=1.066, v_num=7359009]
Epoch 0:  17%|█▋        | 98/578 [00:01<00:05, 87.64it/s, loss=1.066, v_num=7359009]
Epoch 0:  17%|█▋        | 99/578 [00:01<00:05, 87.67it/s, loss=1.066, v_num=7359009]
Epoch 0:  17%|█▋        | 100/578 [00:01<00:05, 87.70it/s, loss=1.065, v_num=7359009]
Epoch 0:  17%|█▋        | 101/578 [00:01<00:05, 87.59it/s, loss=1.065, v_num=7359009]
Epoch 0:  18%|█▊        | 102/578 [00:01<00:05, 87.44it/s, loss=1.065, v_num=7359009]
Epoch 0:  18%|█▊        | 103/578 [00:01<00:05, 87.46it/s, loss=1.064, v_num=7359009]
Epoch 0:  18%|█▊        | 104/578 [00:01<00:05, 87.48it/s, loss=1.063, v_num=7359009]
Epoch 0:  18%|█▊        | 105/578 [00:01<00:05, 87.51it/s, loss=1.061, v_num=7359009]
Epoch 0:  18%|█▊        | 106/578 [00:01<00:05, 87.54it/s, loss=1.060, v_num=7359009]
Epoch 0:  19%|█▊        | 107/578 [00:01<00:05, 87.56it/s, loss=1.059, v_num=7359009]
Epoch 0:  19%|█▊        | 108/578 [00:01<00:05, 87.60it/s, loss=1.059, v_num=7359009]
Epoch 0:  19%|█▊        | 108/578 [00:01<00:05, 87.57it/s, loss=1.058, v_num=7359009]
Epoch 0:  19%|█▉        | 109/578 [00:01<00:05, 87.60it/s, loss=1.058, v_num=7359009]
Epoch 0:  19%|█▉        | 110/578 [00:01<00:05, 87.63it/s, loss=1.058, v_num=7359009]
Epoch 0:  19%|█▉        | 111/578 [00:01<00:05, 87.65it/s, loss=1.057, v_num=7359009]
Epoch 0:  19%|█▉        | 112/578 [00:01<00:05, 87.68it/s, loss=1.056, v_num=7359009]
Epoch 0:  20%|█▉        | 113/578 [00:01<00:05, 87.70it/s, loss=1.055, v_num=7359009]
Epoch 0:  20%|█▉        | 114/578 [00:01<00:05, 87.73it/s, loss=1.055, v_num=7359009]
Epoch 0:  20%|█▉        | 115/578 [00:01<00:05, 87.75it/s, loss=1.055, v_num=7359009]
Epoch 0:  20%|██        | 116/578 [00:01<00:05, 87.78it/s, loss=1.054, v_num=7359009]
Epoch 0:  20%|██        | 117/578 [00:01<00:05, 87.80it/s, loss=1.053, v_num=7359009]
Epoch 0:  20%|██        | 118/578 [00:01<00:05, 87.83it/s, loss=1.053, v_num=7359009]
Epoch 0:  20%|██        | 118/578 [00:01<00:05, 87.81it/s, loss=1.053, v_num=7359009]
Epoch 0:  21%|██        | 119/578 [00:01<00:05, 87.84it/s, loss=1.052, v_num=7359009]
Epoch 0:  21%|██        | 120/578 [00:01<00:05, 87.86it/s, loss=1.052, v_num=7359009]
Epoch 0:  21%|██        | 121/578 [00:01<00:05, 87.88it/s, loss=1.050, v_num=7359009]
Epoch 0:  21%|██        | 122/578 [00:01<00:05, 87.91it/s, loss=1.049, v_num=7359009]
Epoch 0:  21%|██▏       | 123/578 [00:01<00:05, 87.93it/s, loss=1.047, v_num=7359009]
Epoch 0:  21%|██▏       | 124/578 [00:01<00:05, 87.95it/s, loss=1.047, v_num=7359009]
Epoch 0:  22%|██▏       | 125/578 [00:01<00:05, 87.96it/s, loss=1.047, v_num=7359009]
Epoch 0:  22%|██▏       | 126/578 [00:01<00:05, 87.99it/s, loss=1.045, v_num=7359009]
Epoch 0:  22%|██▏       | 127/578 [00:01<00:05, 88.01it/s, loss=1.045, v_num=7359009]
Epoch 0:  22%|██▏       | 128/578 [00:01<00:05, 88.04it/s, loss=1.045, v_num=7359009]
Epoch 0:  22%|██▏       | 128/578 [00:01<00:05, 88.02it/s, loss=1.044, v_num=7359009]
Epoch 0:  22%|██▏       | 129/578 [00:01<00:05, 88.04it/s, loss=1.042, v_num=7359009]
Epoch 0:  22%|██▏       | 130/578 [00:01<00:05, 88.06it/s, loss=1.041, v_num=7359009]
Epoch 0:  23%|██▎       | 131/578 [00:01<00:05, 88.08it/s, loss=1.041, v_num=7359009]
Epoch 0:  23%|██▎       | 132/578 [00:01<00:05, 88.10it/s, loss=1.039, v_num=7359009]
Epoch 0:  23%|██▎       | 133/578 [00:01<00:05, 88.12it/s, loss=1.038, v_num=7359009]
Epoch 0:  23%|██▎       | 134/578 [00:01<00:05, 88.14it/s, loss=1.038, v_num=7359009]
Epoch 0:  23%|██▎       | 135/578 [00:01<00:05, 88.16it/s, loss=1.036, v_num=7359009]
Epoch 0:  24%|██▎       | 136/578 [00:01<00:05, 88.18it/s, loss=1.035, v_num=7359009]
Epoch 0:  24%|██▎       | 137/578 [00:01<00:05, 88.19it/s, loss=1.034, v_num=7359009]
Epoch 0:  24%|██▍       | 138/578 [00:01<00:04, 88.22it/s, loss=1.034, v_num=7359009]
Epoch 0:  24%|██▍       | 138/578 [00:01<00:04, 88.20it/s, loss=1.032, v_num=7359009]
Epoch 0:  24%|██▍       | 139/578 [00:01<00:04, 88.22it/s, loss=1.030, v_num=7359009]
Epoch 0:  24%|██▍       | 140/578 [00:01<00:04, 88.16it/s, loss=1.029, v_num=7359009]
Epoch 0:  24%|██▍       | 141/578 [00:01<00:04, 88.18it/s, loss=1.027, v_num=7359009]
Epoch 0:  25%|██▍       | 142/578 [00:01<00:04, 88.20it/s, loss=1.027, v_num=7359009]
Epoch 0:  25%|██▍       | 143/578 [00:01<00:04, 88.19it/s, loss=1.027, v_num=7359009]
Epoch 0:  25%|██▍       | 144/578 [00:01<00:04, 88.18it/s, loss=1.025, v_num=7359009]
Epoch 0:  25%|██▌       | 145/578 [00:01<00:04, 88.16it/s, loss=1.025, v_num=7359009]
Epoch 0:  25%|██▌       | 146/578 [00:01<00:04, 88.13it/s, loss=1.024, v_num=7359009]
Epoch 0:  25%|██▌       | 147/578 [00:01<00:04, 88.12it/s, loss=1.024, v_num=7359009]
Epoch 0:  26%|██▌       | 148/578 [00:01<00:04, 88.13it/s, loss=1.024, v_num=7359009]
Epoch 0:  26%|██▌       | 148/578 [00:01<00:04, 88.11it/s, loss=1.023, v_num=7359009]
Epoch 0:  26%|██▌       | 149/578 [00:01<00:04, 88.13it/s, loss=1.022, v_num=7359009]
Epoch 0:  26%|██▌       | 150/578 [00:01<00:04, 88.14it/s, loss=1.021, v_num=7359009]
Epoch 0:  26%|██▌       | 151/578 [00:01<00:04, 88.09it/s, loss=1.019, v_num=7359009]
Epoch 0:  26%|██▋       | 152/578 [00:01<00:04, 88.10it/s, loss=1.018, v_num=7359009]
Epoch 0:  26%|██▋       | 153/578 [00:01<00:04, 88.12it/s, loss=1.016, v_num=7359009]
Epoch 0:  27%|██▋       | 154/578 [00:01<00:04, 88.13it/s, loss=1.015, v_num=7359009]
Epoch 0:  27%|██▋       | 155/578 [00:01<00:04, 88.14it/s, loss=1.013, v_num=7359009]
Epoch 0:  27%|██▋       | 156/578 [00:01<00:04, 88.16it/s, loss=1.012, v_num=7359009]
Epoch 0:  27%|██▋       | 157/578 [00:01<00:04, 88.17it/s, loss=1.010, v_num=7359009]
Epoch 0:  27%|██▋       | 158/578 [00:01<00:04, 88.19it/s, loss=1.010, v_num=7359009]
Epoch 0:  27%|██▋       | 158/578 [00:01<00:04, 88.17it/s, loss=1.009, v_num=7359009]
Epoch 0:  28%|██▊       | 159/578 [00:01<00:04, 88.19it/s, loss=1.008, v_num=7359009]
Epoch 0:  28%|██▊       | 160/578 [00:01<00:04, 88.20it/s, loss=1.007, v_num=7359009]
Epoch 0:  28%|██▊       | 161/578 [00:01<00:04, 88.22it/s, loss=1.005, v_num=7359009]
Epoch 0:  28%|██▊       | 162/578 [00:01<00:04, 88.23it/s, loss=1.004, v_num=7359009]
Epoch 0:  28%|██▊       | 163/578 [00:01<00:04, 88.17it/s, loss=1.000, v_num=7359009]
Epoch 0:  28%|██▊       | 164/578 [00:01<00:04, 88.18it/s, loss=0.999, v_num=7359009]
Epoch 0:  29%|██▊       | 165/578 [00:01<00:04, 88.19it/s, loss=0.996, v_num=7359009]
Epoch 0:  29%|██▊       | 166/578 [00:01<00:04, 88.21it/s, loss=0.994, v_num=7359009]
Epoch 0:  29%|██▉       | 167/578 [00:01<00:04, 88.22it/s, loss=0.993, v_num=7359009]
Epoch 0:  29%|██▉       | 168/578 [00:01<00:04, 88.24it/s, loss=0.993, v_num=7359009]
Epoch 0:  29%|██▉       | 168/578 [00:01<00:04, 88.23it/s, loss=0.991, v_num=7359009]
Epoch 0:  29%|██▉       | 169/578 [00:01<00:04, 88.24it/s, loss=0.991, v_num=7359009]
Epoch 0:  29%|██▉       | 170/578 [00:01<00:04, 88.26it/s, loss=0.989, v_num=7359009]
Epoch 0:  30%|██▉       | 171/578 [00:01<00:04, 88.27it/s, loss=0.988, v_num=7359009]
Epoch 0:  30%|██▉       | 172/578 [00:01<00:04, 88.29it/s, loss=0.985, v_num=7359009]
Epoch 0:  30%|██▉       | 173/578 [00:01<00:04, 88.30it/s, loss=0.983, v_num=7359009]
Epoch 0:  30%|███       | 174/578 [00:01<00:04, 88.31it/s, loss=0.981, v_num=7359009]
Epoch 0:  30%|███       | 175/578 [00:01<00:04, 88.33it/s, loss=0.981, v_num=7359009]
Epoch 0:  30%|███       | 176/578 [00:01<00:04, 88.34it/s, loss=0.978, v_num=7359009]
Epoch 0:  31%|███       | 177/578 [00:02<00:04, 88.35it/s, loss=0.976, v_num=7359009]
Epoch 0:  31%|███       | 178/578 [00:02<00:04, 88.37it/s, loss=0.976, v_num=7359009]
Epoch 0:  31%|███       | 178/578 [00:02<00:04, 88.35it/s, loss=0.974, v_num=7359009]
Epoch 0:  31%|███       | 179/578 [00:02<00:04, 88.37it/s, loss=0.972, v_num=7359009]
Epoch 0:  31%|███       | 180/578 [00:02<00:04, 88.38it/s, loss=0.970, v_num=7359009]
Epoch 0:  31%|███▏      | 181/578 [00:02<00:04, 88.39it/s, loss=0.970, v_num=7359009]
Epoch 0:  31%|███▏      | 182/578 [00:02<00:04, 88.41it/s, loss=0.967, v_num=7359009]
Epoch 0:  32%|███▏      | 183/578 [00:02<00:04, 88.41it/s, loss=0.965, v_num=7359009]
Epoch 0:  32%|███▏      | 184/578 [00:02<00:04, 88.42it/s, loss=0.963, v_num=7359009]
Epoch 0:  32%|███▏      | 185/578 [00:02<00:04, 88.43it/s, loss=0.960, v_num=7359009]
Epoch 0:  32%|███▏      | 186/578 [00:02<00:04, 88.44it/s, loss=0.958, v_num=7359009]
Epoch 0:  32%|███▏      | 187/578 [00:02<00:04, 88.46it/s, loss=0.954, v_num=7359009]
Epoch 0:  33%|███▎      | 188/578 [00:02<00:04, 88.47it/s, loss=0.954, v_num=7359009]
Epoch 0:  33%|███▎      | 188/578 [00:02<00:04, 88.46it/s, loss=0.953, v_num=7359009]
Epoch 0:  33%|███▎      | 189/578 [00:02<00:04, 88.47it/s, loss=0.949, v_num=7359009]
Epoch 0:  33%|███▎      | 190/578 [00:02<00:04, 88.48it/s, loss=0.948, v_num=7359009]
Epoch 0:  33%|███▎      | 191/578 [00:02<00:04, 88.49it/s, loss=0.946, v_num=7359009]
Epoch 0:  33%|███▎      | 192/578 [00:02<00:04, 88.51it/s, loss=0.945, v_num=7359009]
Epoch 0:  33%|███▎      | 193/578 [00:02<00:04, 88.52it/s, loss=0.945, v_num=7359009]
Epoch 0:  34%|███▎      | 194/578 [00:02<00:04, 88.53it/s, loss=0.944, v_num=7359009]
Epoch 0:  34%|███▎      | 195/578 [00:02<00:04, 88.54it/s, loss=0.942, v_num=7359009]
Epoch 0:  34%|███▍      | 196/578 [00:02<00:04, 88.55it/s, loss=0.942, v_num=7359009]
Epoch 0:  34%|███▍      | 197/578 [00:02<00:04, 88.56it/s, loss=0.940, v_num=7359009]
Epoch 0:  34%|███▍      | 198/578 [00:02<00:04, 88.57it/s, loss=0.940, v_num=7359009]
Epoch 0:  34%|███▍      | 198/578 [00:02<00:04, 88.56it/s, loss=0.938, v_num=7359009]
Epoch 0:  34%|███▍      | 199/578 [00:02<00:04, 88.58it/s, loss=0.937, v_num=7359009]
Epoch 0:  35%|███▍      | 200/578 [00:02<00:04, 88.59it/s, loss=0.933, v_num=7359009]
Epoch 0:  35%|███▍      | 201/578 [00:02<00:04, 88.55it/s, loss=0.933, v_num=7359009]
Epoch 0:  35%|███▍      | 202/578 [00:02<00:04, 88.55it/s, loss=0.930, v_num=7359009]
Epoch 0:  35%|███▌      | 203/578 [00:02<00:04, 88.56it/s, loss=0.930, v_num=7359009]
Epoch 0:  35%|███▌      | 204/578 [00:02<00:04, 88.58it/s, loss=0.928, v_num=7359009]
Epoch 0:  35%|███▌      | 205/578 [00:02<00:04, 88.59it/s, loss=0.929, v_num=7359009]
Epoch 0:  36%|███▌      | 206/578 [00:02<00:04, 88.59it/s, loss=0.924, v_num=7359009]
Epoch 0:  36%|███▌      | 207/578 [00:02<00:04, 88.61it/s, loss=0.921, v_num=7359009]
Epoch 0:  36%|███▌      | 208/578 [00:02<00:04, 88.62it/s, loss=0.921, v_num=7359009]
Epoch 0:  36%|███▌      | 208/578 [00:02<00:04, 88.61it/s, loss=0.915, v_num=7359009]
Epoch 0:  36%|███▌      | 209/578 [00:02<00:04, 88.62it/s, loss=0.911, v_num=7359009]
Epoch 0:  36%|███▋      | 210/578 [00:02<00:04, 88.63it/s, loss=0.907, v_num=7359009]
Epoch 0:  37%|███▋      | 211/578 [00:02<00:04, 88.64it/s, loss=0.904, v_num=7359009]
Epoch 0:  37%|███▋      | 212/578 [00:02<00:04, 88.64it/s, loss=0.900, v_num=7359009]
Epoch 0:  37%|███▋      | 213/578 [00:02<00:04, 88.65it/s, loss=0.894, v_num=7359009]
Epoch 0:  37%|███▋      | 214/578 [00:02<00:04, 88.66it/s, loss=0.888, v_num=7359009]
Epoch 0:  37%|███▋      | 215/578 [00:02<00:04, 88.67it/s, loss=0.883, v_num=7359009]
Epoch 0:  37%|███▋      | 216/578 [00:02<00:04, 88.68it/s, loss=0.876, v_num=7359009]
Epoch 0:  38%|███▊      | 217/578 [00:02<00:04, 88.69it/s, loss=0.874, v_num=7359009]
Epoch 0:  38%|███▊      | 218/578 [00:02<00:04, 88.70it/s, loss=0.874, v_num=7359009]
Epoch 0:  38%|███▊      | 218/578 [00:02<00:04, 88.69it/s, loss=0.871, v_num=7359009]
Epoch 0:  38%|███▊      | 219/578 [00:02<00:04, 88.70it/s, loss=0.866, v_num=7359009]
Epoch 0:  38%|███▊      | 220/578 [00:02<00:04, 88.71it/s, loss=0.864, v_num=7359009]
Epoch 0:  38%|███▊      | 221/578 [00:02<00:04, 88.71it/s, loss=0.860, v_num=7359009]
Epoch 0:  38%|███▊      | 222/578 [00:02<00:04, 88.72it/s, loss=0.856, v_num=7359009]
Epoch 0:  39%|███▊      | 223/578 [00:02<00:04, 88.73it/s, loss=0.852, v_num=7359009]
Epoch 0:  39%|███▉      | 224/578 [00:02<00:03, 88.74it/s, loss=0.848, v_num=7359009]
Epoch 0:  39%|███▉      | 225/578 [00:02<00:03, 88.75it/s, loss=0.841, v_num=7359009]
Epoch 0:  39%|███▉      | 226/578 [00:02<00:03, 88.75it/s, loss=0.839, v_num=7359009]
